Symbol,Date,Open,High,Low,Close,Percent Change,Volume
CBBL,2022-02-03,1380,1400,1360,1360,0,17156
CBBL,2022-02-01,1360,1362,1350,1360,0,10579
CBBL,2022-01-31,1385,1386,1353,1360,0.07,7911
CBBL,2022-01-30,1341.3,1389,1341.3,1359,3.35,12782
CBBL,2022-01-27,1339,1339,1315,1315,-0.38,7203
CBBL,2022-01-26,1340,1340,1310,1320,-1.49,14055
CBBL,2022-01-25,1361.7,1361.7,1308,1340,0.37,18858
CBBL,2022-01-24,1406.5,1406.5,1330,1335,-3.19,22677
CBBL,2022-01-23,1405,1433,1370,1379,0.07,18222
CBBL,2022-01-20,1370,1380,1355,1378,0.59,14267
CBBL,2022-01-19,1382,1390,1355,1369.9,-0.44,13418
CBBL,2022-01-18,1400,1405,1370,1376,-1.71,17150
CBBL,2022-01-17,1424,1424,1385,1400,-0.07,25187
CBBL,2022-01-16,1378,1458,1390,1401,1.67,25726
CBBL,2022-01-13,1340,1380,1325,1378,2.84,93595
CBBL,2022-01-12,1375,1375,1325,1340,-0.74,39380
CBBL,2022-01-11,1310,1380,1301,1350,3.05,41926
CBBL,2022-01-10,1295,1315,1285,1310,1.95,26131
CBBL,2022-01-09,1274,1295,1268,1285,2.8,24085
CBBL,2022-01-06,1256,1268,1248,1250,-0.41,14433
CBBL,2022-01-05,1295,1295,1255,1255.1,-2.25,15261
CBBL,2022-01-04,1280,1299,1271.5,1284,-0.46,13741
CBBL,2022-01-03,1290,1295,1275,1289.9,1.58,15366
CBBL,2022-01-02,1270,1275,1250,1269.8,1.58,9042
CBBL,2021-12-29,1270,1270,1245,1250,-0.32,6148
CBBL,2021-12-28,1260,1270,1250,1254,-0.71,7426
CBBL,2021-12-27,1290,1292,1260,1263,-1.33,15837
CBBL,2021-12-26,1290,1300,1270,1280,0.31,23129
CBBL,2021-12-23,1289,1300,1275,1276,0.08,16036
CBBL,2021-12-22,1264.8,1290,1240,1275,2.82,34267
CBBL,2021-12-21,1581,1581,1560,1574.9,1.61,37154
CBBL,2021-12-20,1560.6,1560.6,1511,1550,1.31,22541
CBBL,2021-12-16,1544,1544,1511,1530,-0.91,9374
CBBL,2021-12-15,1539,1630,1500,1544,2.25,26892
CBBL,2021-12-14,1420,1510,1420,1510,7.47,11990
CBBL,2021-12-13,1475.1,1475.1,1390,1405,-4.81,27220
CBBL,2021-12-12,1520,1520,1475,1476,-2.57,13642
CBBL,2021-12-09,1520,1520,1495,1515,0,11536
CBBL,2021-12-08,1536,1556,1511,1515,-1.94,9245
CBBL,2021-12-07,1585,1600,1545,1545,-1.78,15386
CBBL,2021-12-06,1560,1575,1499.9,1573,0,21457
