S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION,RSI,macd_vs_signal,50_vs_20ema,20sma_vs_price,50sma_vs_price,200sma_vs_price,ltp,bollinger_price
21,2022-02-03,236,PFL,Pokhara Finance Ltd.,620,620,596,596,76668,46398407,614.9,920,245,2022-02-03T14:59:59.817496,596,519,605.18,6203.88,47.32950166,Down,Down,UP,Down,Down,596,between_bands
22,2022-02-03,348,CZBIL,Citizen Bank International Limited,298,305,298,299,83422,25099298,299,444,252.9,2022-02-03T14:59:46.308079,299,472,300.87,42460.91,44.11573205,Down,Down,UP,Down,Down,299,between_bands
23,2022-02-03,417,GBBL,Garima Bikas Bank Limited,623.9,625,612,615,158501,97617980.6,615,750,293,2022-02-03T14:59:59.847270,615,700,615.88,22606.86,48.45988967,Down,Down,UP,Down,Down,615,between_bands
24,2022-02-03,447,GLICL,Gurans Life Insurance Company Ltd.,709.9,728,693,695,53308,37438367.2,700,901,460,2022-02-03T14:59:45.519307,695,256,702.3,14485.54,49.61667436,Down,Down,UP,Down,Down,695,between_bands
25,2022-02-03,450,CORBL,Corporate Development Bank Limited,610.1,620,601.2,601.2,6433,3923656.1,610,1155,460,2022-02-03T14:58:56.974031,601.2,85,609.92,3006,48.13871886,Down,Down,UP,Down,Down,601.2,between_bands
26,2022-02-03,1741,MERO,Mero Microfinance Bittiya Sanstha Ltd.,1224,1232,1199,1199,13769,16672796.6,1200,1989,878.1,2022-02-03T14:59:58.940310,1199,176,1210.89,14388,57.5422425,UP,Down,Down,Down,Down,1199,between_bands
27,2022-02-03,2746,NMFBS,National Microfinance Bittiya Sanstha Ltd.,2710,2749,2675,2680,4689,12705572.5,2705,4080,2360,2022-02-03T14:58:26.517924,2680,112,2709.65,15722.89,72.14194725,UP,Down,Down,Down,Down,2680,between_bands
28,2022-02-03,2768,MSLB,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,1640,1655,1630,1635,1325,2179459,1651,3131,1485,2022-02-03T14:57:23.613377,1635,35,1644.87,4613.47,56.22600744,UP,Down,Down,Down,Down,1635,between_bands
30,2022-02-03,2917,CGH,Chandragiri Hills Limited,1470,1470,1425,1426,11539,16692792.1,1455,2800,159,2022-02-03T14:59:59.652111,1426,203,1446.64,21876.14,53.47331119,UP,Down,Down,Down,Down,1426,between_bands
32,2022-02-03,4947,PSF,Prabhu Select Fund,9.08,9.52,9.08,9.22,17735,164335.55,9.25,11.22,8.75,2022-02-03T14:54:21.988061,9.22,47,9.26,1152.5,38.54794002,UP,Down,UP,Down,Down,9.22,between_bands
33,2022-02-03,142,KBL,Kumari Bank Limited,264,270.2,262,263,110414,29305691.4,263,413,223,2022-02-03T14:59:56.931889,263,585,265.41,38690.41,41.93486272,Down,Down,UP,Down,Down,263,between_bands
34,2022-02-03,152,NHPC,National Hydro Power Company Limited,425.4,441.6,417,418,578092,248178259.1,417.1,530.9,132,2022-02-03T14:59:56.953484,418,2783,429.3,5790.08,44.12906117,Down,Down,UP,Down,Down,418,between_bands
35,2022-02-03,183,NIL,Neco Insurance Co. Ltd.,1326,1326,1294,1299,39543,51611993.5,1300,1900,950,2022-02-03T14:59:43.815236,1299,290,1305.21,19766.02,55.32408251,Down,Down,Down,Down,Down,1299,between_bands
36,2022-02-03,190,LGIL,Lumbini General Insurance Co. Ltd.,807,807,778,778,29500,23208822,800,975,566.5,2022-02-03T14:59:55.453309,778,166,786.73,9327.36,48.60474807,Down,Down,UP,Down,Down,778,between_bands
37,2022-02-03,428,KRBL,Karnali Development Bank Limited,465,466,441.1,445,33082,14936006.4,457,607,157,2022-02-03T14:59:53.208475,445,220,451.48,2358.54,44.56836787,Down,Down,UP,Down,Down,445,between_bands
38,2022-02-03,471,MPFL,Multipurpose Finance Company  Limited,457.9,460,442,442,17343,7828805.1,449,696,167,2022-02-03T14:59:30.512438,442,103,451.41,1997.84,44.52950051,Down,Down,UP,Down,Down,442,between_bands
39,2022-02-03,593,KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,1370,1374,1331,1334,10385,14074673.8,1365,1715,1015,2022-02-03T14:59:30.928612,1334,115,1355.28,4173.76,57.41281479,UP,Down,Down,Down,Down,1334,between_bands
40,2022-02-03,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1844.9,1844.9,1775,1808,375,671009,1810,2540,1475,2022-02-03T14:53:43.315004,1808,11,1789.35,3081.51,62.77304364,UP,Down,Down,Down,Down,1808,between_bands
41,2022-02-03,702,EICPO,Everest Insurance Co. Ltd. Promoter Share,467,470,451.4,451.4,1831,855390.6,468,530.1,325.9,2022-02-03T13:59:08.542096,451.4,7,467.17,457.04,44.19807737,UP,Down,UP,Down,Down,451.4,between_bands
42,2022-02-03,2751,KKHC,Khanikhola Hydropower Co. Ltd.,340,345.4,332,335,35071,11853707.9,334,556.2,111,2022-02-03T14:59:59.338952,335,301,337.99,1560.14,42.92654125,Down,Down,UP,Down,Down,335,between_bands
43,2022-02-03,2752,NMBHF1,NMB Hybrid Fund L-1,12,12.2,11.9,11.9,45444,544981.92,12.24,16.25,10.13,2022-02-03T14:54:57.294035,11.9,26,11.99,11900,39.26810081,Down,Down,UP,Down,Down,11.9,between_bands
44,2022-02-03,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,1451,1468,1425,1433,3807,5489258.1,1445,1938,1077,2022-02-03T14:59:26.861668,1433,91,1441.88,4398.21,57.74658603,Down,Down,Down,Down,Down,1433,between_bands
45,2022-02-03,2811,MHNL,Mountain Hydro Nepal Limited,525,536,511,516,79292,41703165,515,720,208,2022-02-03T14:59:57.975622,516,322,525.94,6450,46.98451733,Down,Down,UP,Down,Down,516,between_bands
46,2022-02-03,2862,CMF2,CITIZENS MUTUAL FUND 2,10.3,10.49,10.3,10.36,9700,100821.8,10.42,16.87,9.04,2022-02-03T14:47:41.887517,10.36,15,10.39,580.16,41.95452698,Down,Down,UP,Down,Down,10.36,between_bands
47,2022-02-03,2880,HDHPC,Himal Dolakha Hydropower Company Limited,368.2,373.9,357,360,322163,118518737.9,361,478.9,123,2022-02-03T14:59:53.478437,360,1209,367.88,5760,46.56909832,Down,Down,UP,Down,Down,360,between_bands
48,2022-02-03,2902,LUK,Laxmi Unnati Kosh,10.2,10.45,10.12,10.4,20150,209227.5,10.37,16,9.31,2022-02-03T14:55:53.129345,10.4,34,10.38,678.73,42.61687304,Down,Down,UP,Down,Down,10.4,between_bands
49,2022-02-03,2907,SSHL,Shiva Shree Hydropower Ltd,398.8,414.1,383,386.9,128938,51284152.7,391,533,156,2022-02-03T14:59:55.451277,386.9,671,397.74,5712.19,48.14611401,Down,Down,UP,Down,Down,386.9,between_bands
50,2022-02-03,2934,SHEL,Singati Hydro Energy Limited,521.4,537,516.1,524,101166,53322018.6,511.2,650,306,2022-02-03T14:59:59.962907,524,1118,527.07,7598,50.18530564,Down,Down,UP,Down,Down,524,between_bands
51,2022-02-03,280,SIL,Siddhartha Insurance Ltd.,1009.8,1050,1009.8,1018,74774,76542627.7,990,1376,732,2022-02-03T14:59:40.652002,1018,475,1023.65,11401.6,57.25217467,UP,Down,Down,Down,Down,1018,between_bands
52,2022-02-03,371,MDB,Miteri Development Bank Limited,570,576.9,559,559,25063,14244673.3,562.1,873.2,320,2022-02-03T14:59:53.679401,559,161,568.35,5050.16,49.6213622,UP,Down,UP,Down,Down,559,between_bands
53,2022-02-03,517,NBL,Nepal Bank Limited,380,382.5,370,370.5,114244,42650667.1,375,575,317,2022-02-03T14:59:58.795632,370.5,687,373.32,53373.88,46.64278587,UP,Down,UP,UP,Down,370.5,between_bands
54,2022-02-03,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1620,1629.2,1575,1588,691,1107786,1600,2574,1205,2022-02-03T14:48:28.394147,1588,23,1603.16,6098.78,63.260669,UP,Down,Down,Down,Down,1588,between_bands
